x軸, y軸（補正なし）, ypos（補正あり）
258, 141, 117
258, 139, 115
259, 141, 117
258, 142, 118
259, 147, 123
257, 153, 123
260, 131, 107
260, 142, 118
260, 139, 115
258, 142, 118
259, 136, 112
257, 145, 121
257, 136, 112
257, 139, 115
260, 131, 107
261, 142, 118
268, 144, 120
272, 147, 123
282, 157, 127
284, 168, 138
287, 171, 141
288, 178, 148
290, 180, 150
288, 190, 160
289, 198, 168
285, 209, 173
280, 212, 176
277, 225, 189
269, 225, 189
265, 232, 196
254, 239, 197
246, 236, 194
238, 238, 196
230, 230, 194
222, 222, 186
213, 215, 179
199, 217, 181
188, 210, 174
178, 198, 168
168, 199, 169
163, 183, 153
150, 182, 152
138, 173, 143
133, 157, 127
122, 148, 124
114, 142, 118
107, 140, 116
104, 129, 105
105, 118, 94
107, 104, 80
109, 98, 74
112, 92, 68
118, 88, 64
123, 80, 56
131, 73, 49
140, 78, 54
146, 72, 48
153, 59, 41
162, 70, 46
171, 65, 47
178, 66, 48
187, 72, 48
196, 86, 62
204, 89, 65
214, 100, 76
223, 112, 88
233, 118, 94
242, 133, 109
252, 144, 120
258, 153, 123
266, 163, 133
271, 179, 149
277, 176, 146
280, 179, 149
284, 189, 159
284, 193, 163
281, 212, 176
281, 216, 180
274, 220, 184
267, 231, 195
263, 241, 199
260, 261, 213
251, 256, 214
246, 278, 224
238, 267, 219
232, 269, 221
225, 280, 226
212, 282, 228
206, 275, 221
195, 274, 226
185, 282, 228
169, 287, 233
155, 289, 229
144, 294, 234
141, 242, 200
130, 254, 212
123, 258, 210
109, 262, 214
99, 261, 213
91, 254, 212
83, 257, 215
78, 246, 204
77, 237, 195
75, 225, 189
75, 222, 186
77, 215, 179
79, 201, 165
87, 198, 168
91, 197, 167
97, 180, 150
109, 177, 147
118, 159, 129
131, 156, 126
140, 141, 117
151, 133, 109
160, 122, 98
169, 113, 89
178, 122, 98
183, 98, 74
198, 102, 78
210, 111, 87
220, 114, 90
231, 112, 88
241, 111, 87
253, 112, 88
263, 115, 91
272, 120, 96
280, 129, 105
284, 132, 108
289, 146, 122
291, 147, 123
294, 154, 124
294, 153, 123
293, 159, 129
289, 173, 143
287, 184, 154
282, 185, 155
277, 188, 158
272, 200, 164
261, 196, 166
254, 207, 171
243, 198, 168
236, 198, 168
227, 196, 166
222, 188, 158
216, 189, 159
208, 186, 156
202, 188, 158
198, 173, 143
195, 161, 131
197, 152, 122
197, 144, 120
200, 138, 114
201, 131, 107
205, 129, 105
211, 123, 99
219, 122, 98
225, 116, 92
234, 116, 92
242, 119, 95
250, 110, 86
259, 122, 98
265, 127, 103
271, 128, 104
276, 135, 111
279, 146, 122
282, 149, 125
283, 158, 128
283, 162, 132
279, 166, 136
274, 176, 146
268, 179, 149
262, 198, 168
256, 205, 169
249, 223, 187
243, 235, 193
238, 238, 196
233, 250, 208
229, 257, 215
222, 271, 223
217, 265, 217
206, 266, 218
200, 255, 213
187, 276, 222
177, 274, 226
158, 285, 231
150, 283, 229
140, 282, 228
134, 264, 216
126, 274, 226
118, 270, 222
115, 257, 215
110, 266, 218
104, 256, 214
101, 248, 206
105, 236, 194
106, 226, 190
112, 215, 179
116, 208, 172
122, 196, 166
127, 182, 152
134, 176, 146
143, 161, 131
143, 144, 120
154, 134, 110
159, 120, 96
164, 113, 89
169, 107, 83
178, 97, 73
187, 93, 69
194, 96, 72
203, 91, 67
211, 98, 74
217, 90, 66
225, 100, 76
230, 101, 77
238, 115, 91
244, 124, 100
253, 128, 104
261, 141, 117
267, 157, 127
272, 159, 129
275, 164, 134
279, 175, 145
281, 181, 151
282, 190, 160
281, 194, 164
278, 206, 170
275, 220, 184
273, 231, 195
265, 244, 202
257, 249, 207
254, 257, 215
248, 261, 213
240, 270, 222
234, 274, 226
227, 275, 221
219, 262, 214
212, 283, 229
200, 279, 225
188, 270, 222
178, 271, 223
167, 264, 216
153, 262, 214
140, 264, 216
132, 262, 214
122, 256, 214
117, 257, 215
114, 239, 197
112, 225, 189
114, 217, 181
114, 211, 175
117, 195, 165
117, 181, 151
118, 164, 134
120, 143, 119
120, 134, 110
123, 122, 98
127, 112, 88
131, 102, 78
139, 95, 71
149, 88, 64
158, 86, 62
166, 80, 56
173, 80, 56
184, 79, 55
193, 80, 56
202, 87, 63
208, 94, 70
214, 103, 79
216, 116, 92
218, 120, 96
220, 124, 100
219, 131, 107
214, 139, 115
209, 149, 125
203, 160, 130
197, 162, 132
188, 169, 139
178, 169, 139
169, 167, 137
160, 162, 132
153, 154, 124
143, 156, 126
140, 157, 127
137, 155, 125
136, 154, 124
136, 153, 123
137, 152, 122
137, 153, 123
136, 153, 123
136, 154, 124
137, 152, 122
136, 153, 123
138, 154, 124
