500, 500
x軸, y軸（補正なし）, ypos（補正あり）
289, 416, 344
283, 410, 338
281, 411, 339
287, 443, 335
279, 439, 337
181, 469, 271
77, 439, 337
21, 385, 331
42, 360, 312
102, 490, -116
69, 407, 341
115, 394, 334
156, 418, 340
145, 429, 339
35, 313, 277
180, 447, 333
186, 482, 146
168, 458, 314
179, 489, -57
23, 238, 214
30, 422, 344
76, 378, 324
190, 436, 340
193, 446, 332
186, 443, 335
189, 426, 342
168, 424, 340
170, 421, 343
176, 417, 339
165, 419, 341
176, 421, 343
164, 420, 342
165, 411, 339
236, 442, 334
459, 462, 300
122, 235, 211
38, 249, 225
451, 102, 84
417, 225, 201
380, 119, 101
432, 325, 289
407, 259, 229
442, 210, 186
469, 228, 204
470, 240, 216
481, 230, 206
488, 226, 202
486, 221, 197
477, 211, 187
485, 193, 169
490, 208, 184
288, 327, 291
284, 335, 293
296, 317, 281
292, 300, 264
284, 314, 278
285, 314, 278
282, 321, 285
292, 298, 268
278, 319, 283
115, 422, 344
282, 322, 286
285, 340, 298
301, 306, 270
288, 314, 278
305, 310, 274
286, 323, 287
305, 297, 267
294, 345, 303
297, 327, 291
287, 323, 287
291, 340, 298
268, 343, 301
285, 334, 292
284, 347, 305
281, 343, 301
290, 352, 310
271, 340, 298
270, 350, 308
263, 353, 311
283, 342, 300
130, 388, 334
140, 411, 339
139, 415, 343
121, 491, -181
249, 251, 221
113, 480, 174
118, 476, 224
156, 306, 270
104, 462, 300
102, 429, 339
121, 463, 295
119, 475, 229
221, 313, 277
307, 290, 260
108, 489, -57
44, 455, 317
25, 155, 137
110, 226, 202
215, 415, 343
99, 480, 174
481, 12, -6
370, 188, 164
211, 247, 223
178, 211, 187
422, 306, 270
357, 45, 27
46, 23, 5
413, 153, 135
373, 149, 131
353, 493, -365
252, 455, 317
238, 452, 326
266, 447, 333
254, 456, 318
246, 446, 332
256, 452, 326
269, 448, 328
262, 453, 321
254, 452, 326
255, 456, 318
249, 461, 305
270, 473, 245
366, 326, 290
251, 460, 304
267, 480, 174
256, 463, 295
250, 462, 300
254, 450, 324
248, 452, 326
254, 455, 317
256, 458, 314
254, 451, 325
250, 452, 326
272, 451, 325
263, 449, 329
